ID_INDIVIDU,NB_VISITES,MONTANT_CUMULE,NB_PRDT_MOY_VISITE,CA_MOY_VISITE,NB_MAG_DIFF,NB_LIGNES_DIFF,NB_FAM_DIFF,NB_CADEAUX,RECENCE_x,PART_VIST_MAG_GEST,MONTANT,RECENCE_y,FREQUENCE
4,6,475,2.1666666666666665,79.16666666666667,4,4,5,13,39,0.0,Depensier,Recent,Tres Frequent
34,3,207,4.0,69.0,1,3,4,12,498,1.0,Moyennement Depensier,Ancien,Moyennement Frequent
91,6,517,3.333333333333333,86.16666666666667,1,3,9,20,143,1.0,Depensier,Moyennement Recent,Tres Frequent
99,6,350,2.1666666666666665,58.333333333333336,1,3,7,13,95,0.0,Depensier,Moyennement Recent,Tres Frequent
449,1,66,2.0,66.0,1,1,2,2,562,0.0,Pas Depensier,Ancien,Peu Frequent
557,10,415,2.9,41.5,1,4,10,29,65,1.0,Depensier,Recent,Tres Frequent
1144,2,0,1.0,0.0,2,1,1,2,586,0.5,Pas Depensier,Ancien,Peu Frequent
1174,2,46,1.0,23.0,1,1,2,2,422,0.0,Pas Depensier,Ancien,Peu Frequent
1396,19,1765,4.2105263157894735,92.89473684210526,5,3,11,80,60,0.1052631578947368,Depensier,Recent,Tres Frequent
1433,5,400,3.6,80.0,1,4,7,18,41,1.0,Depensier,Recent,Tres Frequent
1534,6,538,2.5,89.66666666666667,5,4,7,15,9,0.0,Depensier,Recent,Tres Frequent
1579,3,323,4.666666666666667,107.66666666666669,2,4,7,14,170,0.6666666666666666,Moyennement Depensier,Moyennement Recent,Moyennement Frequent
1611,3,81,2.333333333333333,27.0,2,2,3,7,153,0.0,Pas Depensier,Moyennement Recent,Moyennement Frequent
1753,2,339,5.5,169.5,1,2,5,11,146,1.0,Depensier,Moyennement Recent,Peu Frequent
1943,5,345,2.6,69.0,2,2,4,13,98,0.0,Depensier,Moyennement Recent,Tres Frequent
2096,9,823,4.555555555555555,91.44444444444444,3,3,9,41,70,0.0,Depensier,Recent,Tres Frequent
2110,2,278,5.0,139.0,1,3,8,10,175,1.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
2142,4,357,3.0,89.25,2,2,6,12,361,0.75,Depensier,Ancien,Tres Frequent
2207,2,245,3.5,122.5,1,2,6,7,196,1.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
2726,3,568,7.0,189.33333333333331,1,2,8,21,466,1.0,Depensier,Ancien,Moyennement Frequent
2736,1,108,3.0,108.0,1,1,3,3,700,0.0,Pas Depensier,Ancien,Peu Frequent
2789,1,106,5.0,106.0,1,2,3,5,571,1.0,Pas Depensier,Ancien,Peu Frequent
2814,2,88,1.5,44.0,2,1,2,3,65,0.0,Pas Depensier,Recent,Peu Frequent
2886,20,1603,2.25,80.15,1,4,12,45,140,0.0,Depensier,Moyennement Recent,Tres Frequent
2976,7,320,2.857142857142857,45.71428571428572,1,4,7,20,208,1.0,Moyennement Depensier,Moyennement Recent,Tres Frequent
3140,5,895,7.4,179.0,1,4,11,37,119,1.0,Depensier,Moyennement Recent,Tres Frequent
3547,4,574,4.0,143.5,2,3,7,16,108,0.75,Depensier,Moyennement Recent,Tres Frequent
3676,3,344,3.6666666666666665,114.66666666666669,1,4,6,11,36,1.0,Depensier,Recent,Moyennement Frequent
4254,5,566,4.2,113.2,2,3,5,21,98,0.4,Depensier,Moyennement Recent,Tres Frequent
4277,1,159,8.0,159.0,1,2,4,8,185,1.0,Pas Depensier,Moyennement Recent,Peu Frequent
4335,3,243,3.0,81.0,1,2,5,9,65,1.0,Moyennement Depensier,Recent,Moyennement Frequent
4451,2,121,2.0,60.5,2,1,3,4,10,0.5,Pas Depensier,Recent,Peu Frequent
4624,5,345,2.8,69.0,1,2,3,14,32,1.0,Depensier,Recent,Tres Frequent
4747,3,165,4.0,55.0,3,4,5,12,116,0.0,Moyennement Depensier,Moyennement Recent,Moyennement Frequent
4857,4,207,2.75,51.75,1,2,4,11,46,1.0,Moyennement Depensier,Recent,Tres Frequent
5035,1,216,6.0,216.0,1,1,4,6,607,1.0,Moyennement Depensier,Ancien,Peu Frequent
5259,2,166,3.5,83.0,1,3,5,7,418,0.0,Moyennement Depensier,Ancien,Peu Frequent
5296,3,201,2.333333333333333,67.0,2,2,5,7,181,0.0,Moyennement Depensier,Moyennement Recent,Moyennement Frequent
5458,17,2263,5.294117647058823,133.11764705882354,5,4,15,90,32,0.7058823529411765,Depensier,Recent,Tres Frequent
5513,3,248,3.0,82.66666666666667,2,3,9,9,598,0.6666666666666666,Moyennement Depensier,Ancien,Moyennement Frequent
5602,1,68,3.0,68.0,1,1,2,3,418,1.0,Pas Depensier,Ancien,Peu Frequent
5806,7,455,3.0,65.0,2,3,7,21,27,0.0,Depensier,Recent,Tres Frequent
5833,1,43,2.0,43.0,1,1,2,2,556,1.0,Pas Depensier,Ancien,Peu Frequent
5857,7,523,3.0,74.71428571428571,5,3,9,21,86,0.1428571428571428,Depensier,Recent,Tres Frequent
5924,2,136,2.0,68.0,1,2,3,4,99,0.0,Pas Depensier,Moyennement Recent,Peu Frequent
6002,2,56,2.5,28.0,1,2,3,5,400,1.0,Pas Depensier,Ancien,Peu Frequent
6071,1,107,5.0,107.0,1,2,3,5,7,1.0,Pas Depensier,Recent,Peu Frequent
6092,7,599,4.857142857142857,85.57142857142857,1,2,4,34,161,1.0,Depensier,Moyennement Recent,Tres Frequent
6133,3,205,2.333333333333333,68.33333333333333,1,3,6,7,51,0.0,Moyennement Depensier,Recent,Moyennement Frequent
6195,10,397,2.3,39.7,4,4,7,23,23,0.3,Depensier,Recent,Tres Frequent
6301,4,450,4.25,112.5,4,3,7,17,43,0.25,Depensier,Recent,Tres Frequent
6338,1,104,4.0,104.0,1,2,3,4,708,0.0,Pas Depensier,Ancien,Peu Frequent
6354,2,176,2.5,88.0,2,1,3,5,255,0.5,Moyennement Depensier,Moyennement Recent,Peu Frequent
6613,1,35,2.0,35.0,1,1,2,2,611,1.0,Pas Depensier,Ancien,Peu Frequent
6663,1,118,4.0,118.0,1,1,4,4,385,0.0,Pas Depensier,Ancien,Peu Frequent
6713,11,845,3.1818181818181817,76.81818181818181,5,2,9,35,21,0.0909090909090909,Depensier,Recent,Tres Frequent
6904,10,756,2.9,75.6,3,4,11,29,25,0.1,Depensier,Recent,Tres Frequent
7062,1,89,3.0,89.0,1,1,3,3,199,0.0,Pas Depensier,Moyennement Recent,Peu Frequent
7320,1,70,2.0,70.0,1,1,2,2,603,0.0,Pas Depensier,Ancien,Peu Frequent
7481,1,136,9.0,136.0,1,3,6,9,560,0.0,Pas Depensier,Ancien,Peu Frequent
7502,3,201,2.333333333333333,67.0,1,1,4,7,226,1.0,Moyennement Depensier,Moyennement Recent,Moyennement Frequent
7755,1,233,9.0,233.0,1,3,4,9,240,1.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
7776,16,2138,4.6875,133.625,1,4,13,75,23,1.0,Depensier,Recent,Tres Frequent
7834,15,1268,3.2666666666666666,84.53333333333333,1,4,10,49,7,0.0,Depensier,Recent,Tres Frequent
7853,8,465,2.75,58.125,5,4,8,22,53,0.125,Depensier,Recent,Tres Frequent
7992,3,249,5.0,83.0,2,3,7,15,147,0.6666666666666666,Moyennement Depensier,Moyennement Recent,Moyennement Frequent
8102,9,506,2.333333333333333,56.22222222222222,5,2,5,21,70,0.3333333333333333,Depensier,Recent,Tres Frequent
8120,7,779,5.285714285714286,111.28571428571428,2,4,7,37,70,0.0,Depensier,Recent,Tres Frequent
8273,2,111,3.0,55.5,2,2,3,6,220,0.0,Pas Depensier,Moyennement Recent,Peu Frequent
8570,1,123,5.0,123.0,1,1,2,5,222,0.0,Pas Depensier,Moyennement Recent,Peu Frequent
8668,7,703,3.571428571428572,100.42857142857144,3,4,9,25,49,0.1428571428571428,Depensier,Recent,Tres Frequent
8685,5,374,2.4,74.8,2,3,4,12,290,0.6,Depensier,Ancien,Tres Frequent
8856,2,180,3.0,90.0,1,2,6,6,317,0.0,Moyennement Depensier,Ancien,Peu Frequent
